id,name,ra_deg,dec_deg,mag
91262,,279.23410832,38.78299311,0.03
24608,,79.17206517,45.99902927,0.08
24436,,78.63446353,-8.20163919,0.18
37279,,114.82724194,5.22750767,0.4
7588,,24.42813204,-57.23666007,0.45
27989,,88.79287161,7.40703634,0.45
68702,,210.95601898,-60.3729784,0.61
97649,,297.6945086,8.86738491,0.76
60718,,186.64975585,-63.09905586,0.77
21421,,68.98000195,16.50976164,0.87
65474,,201.2983523,-11.16124491,0.98
80763,,247.35194804,-26.43194608,1.06
37826,,116.33068263,28.02631031,1.16
113368,,344.41177323,-29.62183701,1.17
62434,,191.93049537,-59.68873246,1.25
102098,,310.3579727,45.28033423,1.25
71681,,219.91412833,-60.83947139,1.35
49669,,152.09358075,11.96719513,1.36
33579,,104.65644451,-28.97208931,1.5
36850,,113.65001898,31.88863645,1.58
61084,,187.79137202,-57.11256922,1.59
85927,,263.40219373,-37.10374835,1.62
25336,,81.28278416,6.34973451,1.64
25428,,81.57290804,28.60787346,1.65
45238,,138.30100329,-69.71747245,1.67
26311,,84.05338572,-1.20191725,1.69
109268,,332.05781838,-46.96061593,1.73
26727,,85.18968672,-1.94257841,1.74
39953,,122.38314727,-47.33661177,1.75
62956,,193.5068041,55.95984301,1.76
15863,,51.08061889,49.86124281,1.79
90185,,276.04310967,-34.3843146,1.79
54061,,165.93265365,61.75111888,1.81
34444,,107.09785853,-26.39320776,1.83
67301,,206.8856088,49.31330288,1.85
41037,,125.62860299,-59.50953829,1.86
86228,,264.32969072,-42.99782155,1.86
28360,,89.88237261,44.94743492,1.9
82273,,252.16610742,-69.02763503,1.91
31681,,99.42792641,16.39941482,1.93
42913,,131.17582214,-54.70856797,1.93
100751,,306.41187347,-56.73488071,1.94
11767,,37.94614689,89.26413805,1.97
30324,,95.6749475,-17.95591658,1.98
46390,,141.8968826,-8.65868335,1.99
9884,,31.79285757,23.46277743,2.01
50583,,154.99234054,19.84186032,2.01
3419,,10.89678452,-17.9866841,2.04
92855,,283.81631956,-26.29659428,2.05
68933,,211.67218608,-36.36869575,2.06
677,,2.09653333,29.09082805,2.07
5447,,17.43248991,35.62083048,2.07
27366,,86.93911641,-9.66960186,2.07
72607,,222.67664751,74.15547596,2.07
112122,,340.66639531,-46.88456594,2.07
86032,,263.73335321,12.56057584,2.08
14576,,47.04220716,40.9556512,2.09
9640,,30.97466283,42.32984832,2.1
57632,,177.26615977,14.57233687,2.14
4427,,14.17708808,60.71674966,2.15
61932,,190.38002079,-48.95988553,2.2
39429,,120.89612561,-40.00318846,2.21
45556,,139.27261834,-59.27526115,2.21
76267,,233.67162293,26.71491041,2.22
44816,,136.99907126,-43.43262406,2.23
65378,,200.98091604,54.92541525,2.23
100453,,305.55708346,40.2566815,2.23
3179,,10.12661349,56.53740928,2.24
87833,,269.15157439,51.48895101,2.24
25930,,83.00166562,-0.2990934,2.25
746,,2.29204036,59.15021814,2.28
66657,,204.97196962,-53.46636269,2.29
78401,,240.08338225,-22.62162024,2.29
82396,,252.54268738,-34.29260982,2.29
71860,,220.48239101,-47.38814127,2.3
71352,,218.87688163,-42.15774562,2.33
53910,,165.4599615,56.38234478,2.34
72105,,221.24687869,27.07417383,2.35
107315,,326.04641808,9.87500791,2.38
86670,,265.62199908,-39.02992092,2.39
2081,,6.57028075,-42.30512197,2.4
58001,,178.45725536,53.69473296,2.41
84012,,257.59442659,-15.72514757,2.43
113881,,345.94305575,28.08245462,2.44
35904,,111.02377104,-29.30311979,2.45
105199,,319.64408982,62.58545529,2.45
45941,,140.52845511,-55.01069531,2.47
102488,,311.55180091,33.96945334,2.48
113963,,346.1900702,15.20536786,2.49
14135,,45.56991279,4.08992539,2.54
81377,,249.28970847,-10.5671518,2.54
68002,,208.88514539,-47.28826634,2.55
54872,,168.52671705,20.52403384,2.56
78820,,241.35931206,-19.80539286,2.56
25985,,83.18255798,-17.82229227,2.58
59196,,182.08976505,-50.72240999,2.58
59803,,183.95194937,-17.5419837,2.58
93506,,285.65301428,-29.88011429,2.6
74785,,229.25196591,-9.38286694,2.61
77070,,236.06664914,6.42551971,2.63
8903,,28.65978771,20.80829949,2.64
26634,,84.91224975,-34.07404941,2.65
28380,,89.93015897,37.21276409,2.65
61359,,188.59680864,-23.39662306,2.65
6686,,21.45251267,60.23540347,2.66
67927,,208.6713175,18.39858742,2.68
73273,,224.63314193,-43.13386699,2.68
23015,,74.24840098,33.16613537,2.69
52727,,161.69217542,-49.42012517,2.69
61585,,189.29618208,-69.13553358,2.69
85696,,262.69099501,-37.29574016,2.7
